business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods (old),Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
101192,Cochinita #2,2 Marina Blvd Fort Mason,San Francisco,CA,,,,,+14150429222,101192_20190606,2019-06-06T00:00:00.000,,New Ownership,,,,,,,,,
97975,BREADBELLY,1408 Clement St,San Francisco,CA,94118,,,,+14157240859,97975_20190725,2019-07-25T00:00:00.000,96,Routine - Unscheduled,97975_20190725_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,,,,,,
92982,Great Gold Restaurant,3161 24th St.,San Francisco,CA,94110,,,,,92982_20170912,2017-09-12T00:00:00.000,,New Ownership,,,,,,,,,
101389,HOMAGE,214 CALIFORNIA ST,San Francisco,CA,94111,,,,+14154878161,101389_20190625,2019-06-25T00:00:00.000,,New Construction,,,,,,,,,
85986,Pronto Pizza,798 Eddy St,San Francisco,CA,94109,,,,,85986_20161011,2016-10-11T00:00:00.000,,New Ownership,85986_20161011_103114,High risk vermin infestation,High Risk,,,,,,
98974,Brickhouse,426 BRANNAN ST,San Francisco,CA,94107,,,,+14158386448,98974_20190321,2019-03-21T00:00:00.000,,New Ownership,,,,,,,,,
99342,LAI HONG RESTAURANT,1416 POWELL ST,San Francisco,CA,94133,,,,,99342_20190222,2019-02-22T00:00:00.000,,New Ownership,,,,,,,,,
95754,Fools Errand,639 Divisadero St A,San Francisco,CA,94117,,,,,95754_20190327,2019-03-27T00:00:00.000,84,Routine - Unscheduled,95754_20190327_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,,,,,,
77005,MoBowL,428 11th St,San Francisco,CA,94103,,,,+14159636568,77005_20170429,2017-04-29T00:00:00.000,94,Routine - Unscheduled,77005_20170429_103120,Moderate risk food holding temperature,Moderate Risk,,,,,,
79804,CurveBall,428 11th St,San Francisco,CA,94103,,,,+14150287297,79804_20190325,2019-03-25T00:00:00.000,,Structural Inspection,,,,,,,,,
100870,TOP SF BBQ,2311 CLEMENT ST,San Francisco,CA,94121,,,,+14155578201,100870_20190705,2019-07-05T00:00:00.000,,New Ownership,,,,,,,,,
4794,VICTOR'S,210 TOWNSEND St,San Francisco,CA,94107,37.778634,-122.393089,"{'type': 'Point', 'coordinates': [-122.393089, 37.778634]}",+14155607018,4794_20181030,2018-10-30T00:00:00.000,71,Routine - Unscheduled,4794_20181030_103138,Improper storage use or identification of toxic substances,Low Risk,34,2,9,6,28856,34
71440,"New Garden Restaurant, Inc.",716 Kearny St,San Francisco,CA,94108,,,,,71440_20190401,2019-04-01T00:00:00.000,85,Routine - Unscheduled,71440_20190401_103150,Improper or defective plumbing,Low Risk,,,,,,
70708,El Calamar,Off The Grid,San Francisco,CA,,,,,+14155713080,70708_20181218,2018-12-18T00:00:00.000,74,Routine - Unscheduled,70708_20181218_103112,No hot water or running water,High Risk,,,,,,
85594,The Pearl,601 19th St,San Francisco,CA,94107,,,,+14155267171,85594_20190325,2019-03-25T00:00:00.000,92,Routine - Unscheduled,85594_20190325_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,,,,,,
69962,Hong Kee & Kim,91 Drumm St,San Francisco,CA,94111,,,,,69962_20190711,2019-07-11T00:00:00.000,68,Routine - Unscheduled,69962_20190711_103161,Low risk vermin infestation,Low Risk,,,,,,
66517,Mela Tandoori Kitchen,536 Golden Gate Ave,San Francisco,CA,94102,37.781168,-122.419494,"{'type': 'Point', 'coordinates': [-122.419494, 37.781168]}",,66517_20190524,2019-05-24T00:00:00.000,84,Routine - Unscheduled,66517_20190524_103120,Moderate risk food holding temperature,Moderate Risk,36,9,9,7,28852,36
84740,Judie's Tacos Locos,Off The Grid,San Francisco,CA,,,,,+14159421211,84740_20190326,2019-03-26T00:00:00.000,,Structural Inspection,,,,,,,,,
96775,WOW THAI KITCHEN,701 Randolph St,San Francisco,CA,94132,,,,+14155586726,96775_20190327,2019-03-27T00:00:00.000,94,Routine - Unscheduled,96775_20190327_103161,Low risk vermin infestation,Low Risk,,,,,,
84740,Judie's Tacos Locos,Off The Grid,San Francisco,CA,,,,,+14159421211,84740_20170919,2017-09-19T00:00:00.000,,Reinspection/Followup,,,,,,,,,
99767,THE VAULT RESTAURANT,555 CALIFORNIA St STE E,San Francisco,CA,94104,,,,,99767_20190613,2019-06-13T00:00:00.000,,Reinspection/Followup,,,,,,,,,
74866,Tacolicious,1548 Stockton St,San Francisco,CA,94133,,,,,74866_20190117,2019-01-17T00:00:00.000,81,Routine - Unscheduled,74866_20190117_103161,Low risk vermin infestation,Low Risk,,,,,,
87337,Whisk On Wheels,Off the Grid,San Francisco,CA,,,,,,87337_20190325,2019-03-25T00:00:00.000,,Structural Inspection,,,,,,,,,
94465,Beautifull LLC,3401 California St,San Francisco,CA,94118,,,,,94465_20190321,2019-03-21T00:00:00.000,81,Routine - Unscheduled,94465_20190321_103129,Insufficient hot water or running water,Moderate Risk,,,,,,
97829,PLATFORM 248,248 09 St,San Francisco,CA,94103,,,,,97829_20181010,2018-10-10T00:00:00.000,,New Construction,,,,,,,,,
68148,Sheng Kee Bakery & Cafe,814-816 Irving St,San Francisco,CA,94122,,,,,68148_20190606,2019-06-06T00:00:00.000,,Reinspection/Followup,,,,,,,,,
85320,Curry Up Now #4,Approved Locations,San Francisco,CA,,,,,,85320_20190326,2019-03-26T00:00:00.000,,Structural Inspection,,,,,,,,,
96565,LA FLOR DE IZOTE,3781 MISSION ST,San Francisco,CA,94110,,,,+14155799640,96565_20180808,2018-08-08T00:00:00.000,,New Ownership,,,,,,,,,
